number,roc_auc,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_units,params_learning_rate,params_optimizer,user_attrs_accuracy,user_attrs_best_epoch,user_attrs_f1,user_attrs_log_loss,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state,accuracy,f1,precision,recall,log_loss,best_epoch
0,0.4722222222222222,2026-04-07 08:15:00.995967,2026-04-07 08:15:04.307295,0 days 00:00:03.311328,16,0.2,32,0.0008468008575248334,rmsprop,0.4539877300613497,1,0.5082872928176796,0.8352201552923965,0.42201834862385323,0.6388888888888888,0.4722222222222222,COMPLETE,0.4539877300613497,0.5082872928176796,0.42201834862385323,0.6388888888888888,0.8352201552923965,1
1,0.5351037851037851,2026-04-07 08:15:04.307367,2026-04-07 08:15:07.325414,0 days 00:00:03.018047,32,0.2,64,0.0011748439548007038,sgd,0.5460122699386503,1,0.0,0.7246324622357557,0.0,0.0,0.5351037851037851,COMPLETE,0.5460122699386503,0.0,0.0,0.0,0.7246324622357557,1
2,0.45467032967032966,2026-04-07 08:15:07.325494,2026-04-07 08:15:13.868152,0 days 00:00:06.542658,32,0.2,256,0.0005682837558512269,sgd,0.44785276073619634,27,0.5108695652173914,0.7461160072211878,0.41964285714285715,0.6527777777777778,0.45467032967032966,COMPLETE,0.44785276073619634,0.5108695652173914,0.41964285714285715,0.6527777777777778,0.7461160072211878,27
3,0.45833333333333337,2026-04-07 08:15:13.868208,2026-04-07 08:15:17.429863,0 days 00:00:03.561655,16,0.3,128,0.0030274065464556514,adam,0.4539877300613497,1,0.40268456375838924,0.715874792107723,0.38961038961038963,0.4166666666666667,0.45833333333333337,COMPLETE,0.4539877300613497,0.40268456375838924,0.38961038961038963,0.4166666666666667,0.715874792107723,1
4,0.47680097680097683,2026-04-07 08:15:17.429947,2026-04-07 08:15:21.250385,0 days 00:00:03.820438,16,0.3,256,0.0001031998233024769,sgd,0.4723926380368098,1,0.5520833333333334,0.7054217311799406,0.44166666666666665,0.7361111111111112,0.47680097680097683,COMPLETE,0.4723926380368098,0.5520833333333334,0.44166666666666665,0.7361111111111112,0.7054217311799406,1
5,0.5260989010989011,2026-04-07 08:15:21.250436,2026-04-07 08:15:24.020707,0 days 00:00:02.770271,128,0.1,256,0.00019781054912383758,rmsprop,0.4785276073619632,1,0.5853658536585366,0.6998324608809587,0.45112781954887216,0.8333333333333334,0.5260989010989011,COMPLETE,0.4785276073619632,0.5853658536585366,0.45112781954887216,0.8333333333333334,0.6998324608809587,1
6,0.5221306471306472,2026-04-07 08:15:24.020760,2026-04-07 08:15:26.721982,0 days 00:00:02.701222,128,0.5,128,0.0003687744286155104,rmsprop,0.4723926380368098,1,0.5376344086021505,0.6990788537623748,0.43859649122807015,0.6944444444444444,0.5221306471306472,COMPLETE,0.4723926380368098,0.5376344086021505,0.43859649122807015,0.6944444444444444,0.6990788537623748,1
7,0.4841269841269842,2026-04-07 08:15:26.722032,2026-04-07 08:15:33.658703,0 days 00:00:06.936671,16,0.3,128,0.010624824455988375,sgd,0.5153374233128835,21,0.27522935779816515,0.8768630801376526,0.40540540540540543,0.20833333333333334,0.4841269841269842,COMPLETE,0.5153374233128835,0.27522935779816515,0.40540540540540543,0.20833333333333334,0.8768630801376526,21
8,0.47970085470085466,2026-04-07 08:15:33.658756,2026-04-07 08:15:36.988877,0 days 00:00:03.330121,32,0.5,128,0.0005076734398297612,adam,0.4539877300613497,1,0.5741626794258373,0.7191130853121112,0.43795620437956206,0.8333333333333334,0.47970085470085466,COMPLETE,0.4539877300613497,0.5741626794258373,0.43795620437956206,0.8333333333333334,0.7191130853121112,1
9,0.4514652014652014,2026-04-07 08:15:36.988977,2026-04-07 08:15:40.151538,0 days 00:00:03.162561,64,0.3,256,0.0037096241656107308,sgd,0.4601226993865031,2,0.5217391304347826,0.7410344748118947,0.42857142857142855,0.6666666666666666,0.4514652014652014,COMPLETE,0.4601226993865031,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.7410344748118947,2
10,0.49282661782661785,2026-04-07 08:15:40.151589,2026-04-07 08:15:43.440522,0 days 00:00:03.288933,32,0.4,64,0.021939050222540633,sgd,0.4662576687116564,1,0.4528301886792453,0.7067138358414692,0.41379310344827586,0.5,0.49282661782661785,COMPLETE,0.4662576687116564,0.4528301886792453,0.41379310344827586,0.5,0.7067138358414692,1
11,0.5027472527472527,2026-04-07 08:15:43.440572,2026-04-07 08:15:46.255151,0 days 00:00:02.814579,128,0.1,64,0.00012471739064851762,rmsprop,0.5153374233128835,1,0.27522935779816515,0.6942505441627281,0.40540540540540543,0.20833333333333334,0.5027472527472527,COMPLETE,0.5153374233128835,0.27522935779816515,0.40540540540540543,0.20833333333333334,0.6942505441627281,1
12,0.4642857142857143,2026-04-07 08:15:46.255211,2026-04-07 08:15:49.229171,0 days 00:00:02.973960,128,0.1,64,0.0016458699249228292,rmsprop,0.4785276073619632,3,0.5086705202312138,0.7540003748122033,0.43564356435643564,0.6111111111111112,0.4642857142857143,COMPLETE,0.4785276073619632,0.5086705202312138,0.43564356435643564,0.6111111111111112,0.7540003748122033,3
13,0.47298534798534797,2026-04-07 08:15:49.229224,2026-04-07 08:15:51.977516,0 days 00:00:02.748292,64,0.0,32,0.00024022186008275907,rmsprop,0.4723926380368098,1,0.4342105263157895,0.7010108735264956,0.4125,0.4583333333333333,0.47298534798534797,COMPLETE,0.4723926380368098,0.4342105263157895,0.4125,0.4583333333333333,0.7010108735264956,1
14,0.47359584859584863,2026-04-07 08:15:51.977565,2026-04-07 08:15:56.588894,0 days 00:00:04.611329,32,0.1,64,0.00150299597863225,adam,0.4723926380368098,10,0.44155844155844154,0.8910437076970147,0.4146341463414634,0.4722222222222222,0.47359584859584863,COMPLETE,0.4723926380368098,0.44155844155844154,0.4146341463414634,0.4722222222222222,0.8910437076970147,10
15,0.5694444444444444,2026-04-07 08:15:56.588983,2026-04-07 08:16:01.317145,0 days 00:00:04.728162,128,0.2,256,0.00019746733539895237,sgd,0.5460122699386503,20,0.4307692307692308,0.6855347729834655,0.4827586206896552,0.3888888888888889,0.5694444444444444,COMPLETE,0.5460122699386503,0.4307692307692308,0.4827586206896552,0.3888888888888889,0.6855347729834655,20
16,0.48672161172161177,2026-04-07 08:16:01.317199,2026-04-07 08:16:05.064609,0 days 00:00:03.747410,128,0.2,64,0.006464812332750515,sgd,0.49079754601226994,7,0.5699481865284974,0.735439836168792,0.45454545454545453,0.7638888888888888,0.48672161172161177,COMPLETE,0.49079754601226994,0.5699481865284974,0.45454545454545453,0.7638888888888888,0.735439836168792,7
17,0.4635989010989011,2026-04-07 08:16:05.064658,2026-04-07 08:16:10.779782,0 days 00:00:05.715124,32,0.2,256,0.0013124747984795356,sgd,0.4662576687116564,22,0.5084745762711864,0.7690298810935419,0.42857142857142855,0.625,0.4635989010989011,COMPLETE,0.4662576687116564,0.5084745762711864,0.42857142857142855,0.625,0.7690298810935419,22
18,0.5071733821733821,2026-04-07 08:16:10.779847,2026-04-07 08:16:13.698065,0 days 00:00:02.918218,64,0.2,32,0.00024214392654894141,sgd,0.5398773006134969,2,0.2857142857142857,0.6954996357094011,0.45454545454545453,0.20833333333333334,0.5071733821733821,COMPLETE,0.5398773006134969,0.2857142857142857,0.45454545454545453,0.20833333333333334,0.6954996357094011,2
